Date,China (SSE Composite Index),France (CAC 40),UK (FTSE 100),Germany (DAX),US (S&P 500),Canada (S&P/TSX Composite),Korea (KOSPI),Japan (Nikkei 225),India (Nifty 50)
2018-03-27,189100.0,84280000.0,690975500.0,98677800.0,3761320000.0,212058200.0,332100.0,101900000.0,225700.0
2018-03-28,163500.0,102195900.0,763193100.0,113396700.0,3875720000.0,214705000.0,501300.0,88100000.0,344400.0
2018-04-03,152200.0,81857300.0,790532700.0,95226700.0,3395840000.0,199121700.0,497100.0,63800000.0,205300.0
2018-04-04,147000.0,91113200.0,794337900.0,107305000.0,3369230000.0,227789600.0,551700.0,75600000.0,231100.0
2018-04-09,139600.0,60670000.0,671088200.0,77287300.0,3076140000.0,174468400.0,334400.0,62100000.0,221600.0
2018-04-10,168200.0,78090500.0,755081700.0,99355700.0,3579130000.0,212896000.0,356400.0,74700000.0,251700.0
2018-04-11,175900.0,68231500.0,766200800.0,98812700.0,3054520000.0,229950600.0,355200.0,69500000.0,250400.0
2018-04-12,148200.0,82203700.0,666773400.0,82053600.0,3045330000.0,160611500.0,441600.0,58400000.0,238600.0
2018-04-13,127600.0,68375700.0,662868400.0,76693800.0,2988540000.0,190227600.0,395900.0,73100000.0,213100.0
2018-04-16,154400.0,60319200.0,862881700.0,62656800.0,3020740000.0,188529800.0,347200.0,53400000.0,195000.0
2018-04-17,147200.0,81726700.0,714046100.0,85350700.0,3286190000.0,167451700.0,394700.0,57400000.0,206100.0
2018-04-18,159300.0,82529900.0,877056200.0,83029000.0,3412030000.0,230935400.0,647300.0,70400000.0,205400.0
2018-04-19,160100.0,74094100.0,788416300.0,70668500.0,3375120000.0,191719900.0,727000.0,79700000.0,262600.0
2018-04-20,155100.0,87342700.0,769512800.0,111680200.0,3428260000.0,170639000.0,531700.0,69600000.0,244600.0
2018-04-23,131700.0,65848500.0,777571800.0,78154600.0,3030390000.0,202793400.0,701400.0,64000000.0,194200.0
2018-04-24,162300.0,90205000.0,836399400.0,106073600.0,3716020000.0,202523700.0,524300.0,76500000.0,219200.0
2018-04-25,127300.0,78056400.0,879795200.0,108576800.0,3563680000.0,189569500.0,466100.0,73300000.0,189200.0
2018-04-26,134000.0,83179000.0,814899700.0,119856800.0,3690920000.0,208957600.0,520900.0,72800000.0,335100.0
2018-04-27,131200.0,71130200.0,750485000.0,0.0,3234510000.0,111784200.0,465000.0,89100000.0,0.0
2018-05-02,134200.0,93979100.0,829699300.0,110911800.0,4047020000.0,208381100.0,807600.0,70700000.0,229700.0
2018-05-08,146900.0,70214400.0,876829900.0,95587900.0,3745100000.0,239405500.0,714700.0,77000000.0,269800.0
2018-05-09,122600.0,72894200.0,891351200.0,102677600.0,3913650000.0,249620000.0,593400.0,86000000.0,215400.0
2018-05-10,133000.0,48972800.0,878774100.0,72155400.0,3380640000.0,230424900.0,490000.0,73300000.0,192100.0
2018-05-11,130700.0,61288900.0,731924200.0,83673800.0,2874850000.0,196733700.0,599900.0,80200000.0,203100.0
2018-05-14,129300.0,59725700.0,749899600.0,77168000.0,2994360000.0,226311000.0,650700.0,68900000.0,171400.0
2018-05-15,124500.0,88419600.0,1027698700.0,106592400.0,3291190000.0,224440500.0,712600.0,86400000.0,254300.0
2018-05-16,130500.0,76258900.0,933498300.0,104171700.0,3248480000.0,201996900.0,691800.0,80200000.0,231100.0
2018-05-17,114000.0,80318200.0,781296600.0,92016400.0,3478150000.0,208702800.0,596800.0,75600000.0,214100.0
2018-05-18,136500.0,115184600.0,899946200.0,124262900.0,3383270000.0,181368400.0,431400.0,65300000.0,223000.0
2018-05-23,157800.0,100736000.0,918822700.0,105439100.0,3333160000.0,195487800.0,752700.0,75000000.0,290900.0
2018-05-24,124100.0,85231200.0,890463600.0,143763000.0,3285750000.0,204773800.0,638100.0,85600000.0,297600.0
2018-05-25,128600.0,87810500.0,844360200.0,104044700.0,3015260000.0,182237200.0,653600.0,70400000.0,260800.0
2018-05-29,135700.0,141981600.0,1288493000.0,153964500.0,3743310000.0,196780200.0,571800.0,59800000.0,225800.0
2018-05-30,155100.0,116950900.0,923820700.0,122609400.0,3566490000.0,187813200.0,575900.0,90500000.0,238700.0
2018-05-31,140500.0,144487200.0,1549063100.0,184309000.0,4241100000.0,288780000.0,816900.0,132400000.0,610300.0
2018-06-01,129900.0,99399200.0,783469400.0,123414600.0,3694310000.0,181961200.0,603000.0,82500000.0,220600.0
2018-06-04,114600.0,79269000.0,722966000.0,84511600.0,3410090000.0,172744300.0,438900.0,71900000.0,203800.0
2018-06-05,118700.0,84084300.0,933666200.0,107898300.0,3523550000.0,188418400.0,501400.0,65800000.0,167700.0
2018-06-07,127800.0,80269600.0,1056744900.0,94068000.0,3742080000.0,202165900.0,474100.0,72200000.0,220900.0
2018-06-08,134700.0,79611800.0,755489900.0,115025300.0,3138850000.0,171122400.0,530200.0,85200000.0,209400.0
2018-06-11,108600.0,87500400.0,736070400.0,108719300.0,3262130000.0,169658600.0,427900.0,55700000.0,211400.0
2018-06-12,113300.0,78558400.0,773837800.0,100645600.0,3435700000.0,176743900.0,613200.0,63900000.0,198300.0
2018-06-14,115500.0,99909400.0,1119081700.0,136091200.0,3540930000.0,166514200.0,533400.0,72100000.0,184300.0
2018-06-15,144500.0,189560900.0,1711560200.0,257670500.0,5451990000.0,448100700.0,502400.0,88500000.0,305400.0
2018-06-19,230600.0,87760800.0,897872000.0,102502200.0,3671160000.0,195318600.0,606300.0,79400000.0,224500.0
2018-06-20,144300.0,83444100.0,844000100.0,89617400.0,3332140000.0,214355600.0,456000.0,88900000.0,193500.0
2018-06-21,154400.0,92471200.0,777562300.0,111154800.0,3336580000.0,196887700.0,438300.0,76000000.0,223600.0
2018-06-22,126100.0,74045400.0,716273100.0,83725600.0,5468110000.0,230346100.0,537300.0,85900000.0,229800.0
2018-06-25,121900.0,61986900.0,791358000.0,98566500.0,3663280000.0,255366700.0,415100.0,60600000.0,229600.0
2018-06-26,125900.0,66678000.0,1088107300.0,62457100.0,3568900000.0,249086000.0,470900.0,71300000.0,220000.0
2018-06-27,129400.0,91539300.0,1643638600.0,127889100.0,3803990000.0,233945300.0,526600.0,65800000.0,246000.0
2018-06-28,118400.0,91384400.0,790762300.0,107207500.0,3461100000.0,212392300.0,414400.0,70000000.0,352300.0
2018-06-29,125700.0,96281300.0,898931000.0,114043400.0,3586800000.0,215940200.0,396700.0,67900000.0,242800.0
2018-07-03,142500.0,79762300.0,1015952400.0,93526400.0,1911460000.0,167706400.0,366000.0,76500000.0,202100.0
2018-07-05,129200.0,95493300.0,614456600.0,114460400.0,2980160000.0,169774100.0,346900.0,66700000.0,220500.0
2018-07-06,136300.0,72631100.0,663475300.0,0.0,2590250000.0,141594800.0,344400.0,71600000.0,0.0
2018-07-09,121500.0,68001100.0,676761100.0,74724300.0,3070060000.0,149277900.0,352600.0,61200000.0,183600.0
2018-07-10,117100.0,73970700.0,701511200.0,81853500.0,3080140000.0,179453700.0,339900.0,90700000.0,197000.0
2018-07-11,126800.0,87179200.0,793208100.0,84350300.0,2986180000.0,223771000.0,423000.0,74900000.0,222300.0
2018-07-12,147000.0,77442500.0,746183900.0,72314800.0,2834230000.0,168849100.0,364400.0,64400000.0,248300.0
2018-07-13,117700.0,66789800.0,574401200.0,0.0,2619790000.0,140905500.0,291600.0,72600000.0,0.0
2018-07-16,107800.0,56645300.0,591161000.0,97107500.0,2819860000.0,152593700.0,297100.0,0.0,210500.0
2018-07-17,105400.0,63232400.0,724367500.0,91976300.0,3064920000.0,164404500.0,379000.0,75800000.0,210600.0
2018-07-18,121000.0,72157000.0,651377100.0,87635000.0,3111560000.0,182820700.0,402800.0,56500000.0,225500.0
2018-07-19,114500.0,73346300.0,695398600.0,75493900.0,3278360000.0,179816500.0,464500.0,62400000.0,215400.0
2018-07-20,145900.0,93503600.0,685061200.0,106490300.0,3243250000.0,175726000.0,353200.0,69700000.0,187300.0
2018-07-23,173400.0,58933900.0,573514400.0,65205400.0,2928490000.0,154956300.0,334300.0,88000000.0,229100.0
2018-07-24,229600.0,96565100.0,852532800.0,90068800.0,3430410000.0,178751900.0,436100.0,70400000.0,205800.0
2018-07-25,167800.0,81395300.0,677528100.0,80817800.0,3584400000.0,158513300.0,309300.0,58700000.0,205900.0
2018-07-26,168400.0,98897800.0,588851200.0,105931000.0,3667290000.0,185503900.0,303300.0,69600000.0,365400.0
2018-07-27,146400.0,104519100.0,765238000.0,95634400.0,3434370000.0,213660700.0,262100.0,73200000.0,314600.0
2018-07-30,151700.0,68998200.0,732990700.0,70725000.0,3261190000.0,143937900.0,206500.0,76200000.0,278800.0
