Date,000001.SS,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^KS11,^N225,^NSEI
2022-02-10,3485.909912109375,7101.5498046875,7672.39990234375,15490.4404296875,4504.080078125,21531.69921875,2771.929931640625,27696.080078125,17605.849609375
2022-02-14,3428.8798828125,6852.2001953125,7531.60009765625,15113.9697265625,4401.669921875,21352.5,2704.47998046875,27079.58984375,16842.80078125
2022-02-15,3446.090087890625,6979.97021484375,7608.89990234375,15412.7099609375,4471.06982421875,21502.599609375,2676.5400390625,26865.189453125,17352.44921875
2022-02-16,3465.830078125,6964.97998046875,7603.7998046875,15396.0703125,4475.009765625,21383.599609375,2729.679931640625,27460.400390625,17322.19921875
2022-02-17,3468.0400390625,6946.81982421875,7537.39990234375,15267.6298828125,4380.259765625,21176.30078125,2744.090087890625,27232.869140625,17304.599609375
2022-02-18,3490.760009765625,6929.6298828125,7513.60009765625,15042.509765625,4348.8701171875,21008.19921875,2744.52001953125,27122.0703125,17276.30078125
2022-02-22,3457.14990234375,6787.60009765625,7494.2001953125,14693.0,4304.759765625,20907.80078125,2706.7900390625,26449.609375,17092.19921875
2022-02-24,3429.9599609375,6521.0498046875,7207.0,14052.099609375,4288.7001953125,20761.900390625,2648.800048828125,25970.8203125,16247.9501953125
2022-02-25,3451.409912109375,6752.43017578125,7489.5,14567.23046875,4384.64990234375,21106.0,2676.760009765625,26476.5,16658.400390625
2022-02-28,3462.31005859375,6658.830078125,7458.2998046875,14461.01953125,4373.93994140625,21126.400390625,2699.179931640625,26526.8203125,16793.900390625
2022-03-02,3484.18994140625,6498.02001953125,7429.60009765625,14000.1103515625,4386.5400390625,21255.599609375,2703.52001953125,26393.029296875,16605.94921875
2022-03-03,3481.110107421875,6378.3701171875,7238.89990234375,13698.400390625,4363.490234375,21250.400390625,2747.080078125,26577.26953125,16498.05078125
2022-03-04,3447.64990234375,6061.66015625,6987.10009765625,13094.5400390625,4328.8701171875,21402.400390625,2713.429931640625,25985.470703125,16245.349609375
2022-03-07,3372.860107421875,5982.27001953125,6959.5,12834.650390625,4201.08984375,21304.400390625,2651.31005859375,25221.41015625,15863.150390625
2022-03-08,3293.530029296875,5962.9599609375,6964.10009765625,12831.509765625,4170.7001953125,21232.0,2622.39990234375,24790.94921875,16013.4501953125
2022-03-10,3296.090087890625,6207.2001953125,7099.10009765625,13442.099609375,4259.52001953125,21581.69921875,2680.320068359375,25690.400390625,16594.900390625
2022-03-11,3309.75,6260.25,7155.60009765625,13628.1103515625,4204.31005859375,21461.80078125,2661.280029296875,25162.779296875,16630.44921875
2022-03-14,3223.530029296875,6369.93994140625,7193.5,13929.1103515625,4173.10986328125,21180.80078125,2645.64990234375,25307.849609375,16871.30078125
2022-03-15,3063.969970703125,6355.0,7175.7001953125,13917.26953125,4262.4501953125,21187.80078125,2621.530029296875,25346.48046875,16663.0
2022-03-16,3170.7099609375,6588.64013671875,7291.7001953125,14440.740234375,4357.85986328125,21468.80078125,2659.22998046875,25762.009765625,16975.349609375
2022-03-17,3215.0400390625,6612.52001953125,7385.2998046875,14388.0595703125,4411.669921875,21771.19921875,2694.510009765625,26652.890625,17287.05078125
2022-03-22,3259.860107421875,6659.41015625,7476.7001953125,14473.2001953125,4511.60986328125,22074.400390625,2710.0,27224.109375,17315.5
2022-03-23,3271.030029296875,6581.43017578125,7460.60009765625,14283.650390625,4456.240234375,21932.19921875,2735.050048828125,28040.16015625,17245.650390625
2022-03-24,3250.260009765625,6555.77001953125,7467.39990234375,14273.7900390625,4520.16015625,21937.900390625,2729.659912109375,28110.390625,17222.75
2022-03-25,3212.239990234375,6553.68017578125,7483.39990234375,14305.759765625,4543.06005859375,22005.900390625,2729.97998046875,28149.83984375,17153.0
2022-03-28,3214.5,6589.10986328125,7473.10009765625,14417.3701171875,4575.52001953125,21977.80078125,2729.56005859375,27943.890625,17222.0
2022-03-29,3203.93994140625,6792.16015625,7537.2998046875,14820.330078125,4631.60009765625,22087.19921875,2741.070068359375,28252.419921875,17325.30078125
2022-03-30,3266.60009765625,6741.58984375,7578.7998046875,14606.0498046875,4602.4501953125,22076.0,2746.739990234375,28027.25,17498.25
2022-03-31,3252.199951171875,6659.8701171875,7515.7001953125,14414.75,4530.41015625,21890.19921875,2757.64990234375,27821.4296875,17464.75
2022-04-01,3282.719970703125,6684.31005859375,7537.89990234375,14446.48046875,4545.85986328125,21953.0,2739.85009765625,27665.98046875,17670.44921875
2022-04-06,3283.429931640625,6498.830078125,7587.7001953125,14151.6904296875,4481.14990234375,21788.599609375,2735.030029296875,27350.30078125,17807.650390625
2022-04-07,3236.699951171875,6461.68017578125,7551.7998046875,14078.150390625,4500.2099609375,21834.900390625,2695.860107421875,26888.5703125,17639.55078125
2022-04-08,3251.85009765625,6548.22021484375,7669.60009765625,14283.669921875,4488.27978515625,21874.400390625,2700.389892578125,26985.80078125,17784.349609375
2022-04-11,3167.1298828125,6555.81005859375,7618.2998046875,14192.7802734375,4412.52978515625,21790.5,2693.10009765625,26821.51953125,17674.94921875
2022-04-12,3213.330078125,6537.41015625,7576.7001953125,14124.9501953125,4397.4501953125,21715.400390625,2666.760009765625,26334.98046875,17530.30078125
2022-04-13,3186.820068359375,6542.14013671875,7580.7998046875,14076.4404296875,4446.58984375,21838.0,2716.489990234375,26843.490234375,17475.650390625
2022-04-19,3194.030029296875,6534.7900390625,7601.2998046875,14153.4599609375,4462.2099609375,22018.80078125,2718.889892578125,26985.08984375,16958.650390625
2022-04-20,3151.050048828125,6624.91015625,7629.2001953125,14362.0302734375,4459.4501953125,21998.400390625,2718.68994140625,27217.849609375,17136.55078125
2022-04-21,3079.81005859375,6715.10009765625,7628.0,14502.41015625,4393.66015625,21650.400390625,2728.2099609375,27553.060546875,17392.599609375
2022-04-22,3086.919921875,6581.419921875,7521.7001953125,14142.08984375,4271.77978515625,21186.400390625,2704.7099609375,27105.259765625,17171.94921875
2022-04-25,2928.510009765625,6449.3798828125,7380.5,13924.169921875,4296.1201171875,21011.900390625,2657.1298828125,26590.779296875,16953.94921875
2022-04-26,2886.429931640625,6414.56982421875,7386.2001953125,13756.400390625,4175.2001953125,20690.80078125,2668.31005859375,26700.109375,17200.80078125
2022-04-27,2958.280029296875,6445.259765625,7425.60009765625,13793.9404296875,4183.9599609375,20744.19921875,2639.06005859375,26386.630859375,17038.400390625
2022-04-28,2975.47998046875,6508.14013671875,7509.2001953125,13979.83984375,4287.5,21121.099609375,2667.489990234375,26847.900390625,17245.05078125
2022-05-06,3001.56005859375,6258.35986328125,7387.89990234375,13674.2900390625,4123.33984375,20633.30078125,2644.510009765625,27003.560546875,16411.25
2022-05-10,3035.840087890625,6116.91015625,7243.2001953125,13534.740234375,4001.050048828125,19890.099609375,2596.56005859375,26167.099609375,16240.0498046875
2022-05-11,3058.699951171875,6269.72998046875,7347.7001953125,13828.6396484375,3935.179931640625,19837.30078125,2592.27001953125,26213.640625,16167.099609375
2022-05-12,3054.989990234375,6206.259765625,7233.2998046875,13739.6396484375,3930.080078125,19699.099609375,2550.080078125,25748.720703125,15808.0
2022-05-13,3084.280029296875,6362.68017578125,7418.2001953125,14027.9296875,4023.889892578125,20099.80078125,2604.239990234375,26427.650390625,15782.150390625
2022-05-16,3073.75,6347.77001953125,7464.7998046875,13964.3798828125,4008.010009765625,20206.400390625,2596.580078125,26547.05078125,15842.2998046875
2022-05-17,3093.699951171875,6430.18994140625,7518.39990234375,14185.9404296875,4088.85009765625,20491.0,2620.43994140625,26659.75,16259.2998046875
2022-05-18,3085.97998046875,6352.93994140625,7438.10009765625,14007.759765625,3923.679931640625,20101.400390625,2625.97998046875,26911.19921875,16240.2998046875
2022-05-19,3096.9599609375,6272.7099609375,7302.7001953125,13882.2998046875,3900.7900390625,20181.900390625,2592.340087890625,26402.83984375,15809.400390625
2022-05-20,3146.570068359375,6285.240234375,7390.0,13981.91015625,3901.360107421875,20197.599609375,2639.2900390625,26739.029296875,16266.150390625
2022-05-24,3070.929931640625,6253.14013671875,7484.39990234375,13919.75,3941.47998046875,20286.19921875,2605.8701171875,26748.140625,16125.150390625
2022-05-25,3107.4599609375,6298.64013671875,7522.7998046875,14007.9296875,3978.72998046875,20383.80078125,2617.219970703125,26677.80078125,16025.7998046875
2022-05-26,3123.110107421875,6410.580078125,7564.89990234375,14231.2900390625,4057.840087890625,20532.19921875,2612.449951171875,26604.83984375,16170.150390625
2022-05-27,3130.239990234375,6515.75,7585.5,14462.1904296875,4158.240234375,20748.599609375,2638.050048828125,26781.6796875,16352.4501953125
2022-05-31,3186.429931640625,6468.7998046875,7607.7001953125,14388.349609375,4132.14990234375,20729.30078125,2685.89990234375,27279.80078125,16584.55078125
2022-06-07,3241.760009765625,6500.35009765625,7598.89990234375,14556.6201171875,4160.68017578125,20928.19921875,2626.340087890625,27943.94921875,16416.349609375
2022-06-08,3263.7900390625,6448.6298828125,7593.0,14445.990234375,4115.77001953125,20792.400390625,2626.14990234375,28234.2890625,16356.25
2022-06-09,3238.949951171875,6358.4599609375,7476.2001953125,14198.7998046875,4017.820068359375,20563.900390625,2625.43994140625,28246.529296875,16478.099609375
2022-06-10,3284.830078125,6187.22998046875,7317.5,13761.830078125,3900.860107421875,20274.80078125,2595.8701171875,27824.2890625,16201.7998046875
2022-06-13,3255.550048828125,6022.31982421875,7205.7998046875,13427.0302734375,3749.6298828125,19742.599609375,2504.510009765625,26987.439453125,15774.400390625
2022-06-14,3288.909912109375,5949.83984375,7187.5,13304.3896484375,3735.47998046875,19548.5,2492.969970703125,26629.859375,15732.099609375
2022-06-15,3305.409912109375,6030.1298828125,7273.39990234375,13485.2900390625,3789.989990234375,19611.599609375,2447.3798828125,26326.16015625,15692.150390625
2022-06-16,3285.3798828125,5886.240234375,7045.0,13038.490234375,3666.77001953125,19004.099609375,2451.409912109375,26431.19921875,15360.599609375
2022-06-17,3316.7900390625,5882.64990234375,7016.2998046875,13126.259765625,3674.840087890625,18930.5,2440.929931640625,25963.0,15293.5
2022-06-21,3306.719970703125,5964.66015625,7152.10009765625,13292.400390625,3764.7900390625,19257.30078125,2408.929931640625,26246.310546875,15638.7998046875
2022-06-22,3267.199951171875,5916.6298828125,7089.2001953125,13144.2802734375,3759.889892578125,19004.0,2342.81005859375,26149.55078125,15413.2998046875
2022-06-23,3320.14990234375,5883.330078125,7020.5,12912.58984375,3795.72998046875,18717.099609375,2314.320068359375,26171.25,15556.650390625
2022-06-24,3349.75,6073.35009765625,7208.7998046875,13118.1298828125,3911.739990234375,19062.900390625,2366.60009765625,26491.970703125,15699.25
2022-06-27,3379.18994140625,6047.31005859375,7258.2998046875,13186.0703125,3900.110107421875,19258.30078125,2401.919921875,26871.26953125,15832.0498046875
