Date,000001.SS,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^KS11,^N225,^NSEI
2018-01-04,3392.825927734375,5430.72021484375,7702.5,13208.349609375,2729.2900390625,16421.400390625,2502.5,23506.330078125,10513.0
2018-01-05,3402.069091796875,5470.75,7727.7001953125,13332.7998046875,2743.449951171875,16370.2998046875,2497.52001953125,23730.470703125,10566.099609375
2018-01-09,3417.22802734375,5525.669921875,7733.10009765625,13425.01953125,2759.139892578125,16358.2001953125,2524.72998046875,23952.609375,10659.150390625
2018-01-10,3430.214111328125,5529.2998046875,7756.10009765625,13377.8798828125,2750.800048828125,16341.099609375,2516.820068359375,23864.759765625,10655.5
2018-01-11,3426.48291015625,5516.58984375,7769.0,13298.650390625,2767.56005859375,16301.400390625,2502.52001953125,23734.970703125,10664.599609375
2018-01-12,3435.424072265625,5520.18017578125,7792.60009765625,13265.1396484375,2787.85009765625,16323.5,2500.8701171875,23743.05078125,10690.400390625
2018-01-16,3437.5830078125,5535.9501953125,7791.7998046875,13351.08984375,2807.5400390625,16373.2998046875,2524.550048828125,23962.0703125,10762.349609375
2018-01-17,3465.205078125,5518.39013671875,7755.89990234375,13251.4404296875,2807.0400390625,16358.2001953125,2521.969970703125,23891.630859375,10803.0
2018-01-18,3476.5458984375,5515.16015625,7739.5,13293.2900390625,2805.830078125,16344.099609375,2532.080078125,24084.419921875,10887.5
2018-01-19,3498.43408203125,5528.89013671875,7731.7998046875,13445.4697265625,2810.330078125,16364.2998046875,2524.330078125,23872.689453125,10906.849609375
2018-01-22,3503.385986328125,5543.06005859375,7739.39990234375,13470.0498046875,2833.030029296875,16360.5,2517.1201171875,23816.330078125,10975.099609375
2018-01-23,3547.221923828125,5567.02978515625,7745.2001953125,13596.8896484375,2842.239990234375,16383.7998046875,2536.60009765625,24129.33984375,11092.900390625
2018-01-24,3569.489013671875,5538.580078125,7732.0,13576.83984375,2852.969970703125,16365.0,2547.219970703125,24072.76953125,11110.099609375
2018-01-25,3571.48095703125,5525.759765625,7662.39990234375,13443.3603515625,2848.56005859375,16315.099609375,2564.429931640625,23828.400390625,11095.599609375
2018-01-29,3587.031982421875,5537.52978515625,7689.2001953125,13370.01953125,2870.6201171875,16195.7001953125,2607.10009765625,23787.23046875,11171.5498046875
2018-01-30,3523.051025390625,5518.93994140625,7671.7001953125,13309.8603515625,2837.75,16054.5,2599.169921875,23581.98046875,11121.099609375
2018-01-31,3495.452880859375,5496.77978515625,7599.0,13268.41015625,2839.260009765625,15979.900390625,2597.139892578125,23375.380859375,11058.5
2018-02-01,3495.093017578125,5529.39990234375,7554.7001953125,13301.41015625,2835.9599609375,15922.599609375,2583.739990234375,23492.76953125,11117.349609375
2018-02-02,3463.1640625,5437.259765625,7494.7998046875,12954.58984375,2808.919921875,15783.0,2565.989990234375,23367.9609375,10954.9501953125
2018-02-05,3487.720947265625,5332.77001953125,7443.39990234375,12752.599609375,2763.389892578125,15584.099609375,2503.989990234375,22967.689453125,10702.75
2018-02-06,3440.1240234375,5226.1298828125,7335.0,12550.16015625,2701.0400390625,15401.7998046875,2460.280029296875,22277.44921875,10594.150390625
2018-02-07,3425.5380859375,5267.8798828125,7311.5,12651.2802734375,2727.669921875,15421.2001953125,2484.179931640625,22353.869140625,10614.0
2018-02-08,3307.162109375,5248.43994140625,7279.39990234375,12541.3203125,2685.27001953125,15359.5,2423.8798828125,21977.029296875,10637.7998046875
2018-02-09,3180.110107421875,5155.8701171875,7170.7001953125,12296.1796875,2638.669921875,15110.900390625,2372.89990234375,21510.30078125,10480.2001953125
2018-02-14,3203.4970703125,5188.14013671875,7243.2001953125,12393.7099609375,2702.10009765625,15391.099609375,2426.6298828125,21371.009765625,10590.5498046875
2018-02-22,3269.916015625,5321.18994140625,7281.60009765625,12497.7099609375,2731.260009765625,15638.0,2422.6201171875,21799.400390625,10397.5498046875
2018-02-23,3294.134033203125,5322.35009765625,7262.10009765625,12513.3203125,2747.760009765625,15641.099609375,2451.52001953125,21903.390625,10499.099609375
2018-02-26,3335.986083984375,5357.35986328125,7313.0,12601.4599609375,2780.639892578125,15735.2001953125,2466.080078125,22226.529296875,10592.9501953125
2018-02-27,3328.672119140625,5363.52001953125,7326.0,12577.5595703125,2789.14990234375,15766.5,2480.7900390625,22502.05078125,10631.650390625
2018-02-28,3277.83203125,5357.06005859375,7293.39990234375,12516.919921875,2761.52001953125,15726.099609375,2460.1201171875,22380.279296875,10535.5
2018-03-05,3269.39990234375,5176.52001953125,7119.2001953125,12110.1796875,2728.090087890625,15559.2001953125,2407.97998046875,21164.380859375,10428.7001953125
2018-03-06,3290.2529296875,5216.60009765625,7197.7998046875,12259.580078125,2732.080078125,15591.0,2413.010009765625,21551.140625,10441.349609375
2018-03-07,3308.406005859375,5203.06005859375,7180.7001953125,12275.6904296875,2730.60009765625,15611.900390625,2429.429931640625,21484.080078125,10243.349609375
2018-03-08,3289.4970703125,5264.35986328125,7212.10009765625,12382.6904296875,2740.449951171875,15552.7001953125,2433.080078125,21488.16015625,10270.349609375
2018-03-09,3309.715087890625,5293.080078125,7225.2998046875,12407.98046875,2786.570068359375,15598.7998046875,2476.429931640625,21884.44921875,10296.7001953125
2018-03-12,3333.56103515625,5302.419921875,7254.89990234375,12454.9599609375,2796.97998046875,15628.099609375,2489.4599609375,21971.16015625,10433.650390625
2018-03-13,3333.875,5311.66015625,7224.10009765625,12459.900390625,2801.89990234375,15709.400390625,2494.489990234375,21968.099609375,10478.599609375
2018-03-14,3304.97900390625,5272.72021484375,7176.5,12322.8896484375,2777.110107421875,15712.599609375,2486.97998046875,21881.08984375,10420.349609375
2018-03-15,3297.097900390625,5274.93994140625,7162.60009765625,12378.3896484375,2763.030029296875,15735.2998046875,2496.510009765625,21825.970703125,10420.0
2018-03-16,3300.56494140625,5299.22998046875,7187.2998046875,12454.01953125,2761.85009765625,15791.2001953125,2497.800048828125,21879.279296875,10346.2998046875
2018-03-19,3280.56689453125,5265.43994140625,7164.2001953125,12369.76953125,2741.3798828125,15693.099609375,2493.56005859375,21659.0390625,10224.5498046875
2018-03-20,3292.573974609375,5255.10009765625,7081.5,12320.0,2724.219970703125,15642.5,2485.52001953125,21384.859375,10155.650390625
