Date,Close,High,Low,Open,Volume,return (n=1),volatility (n=20)
2018-03-19,21480.900390625,21659.0390625,21366.880859375,21537.900390625,67300000.0,-0.009064988551937903,0.003714792031649535
2018-03-20,21380.970703125,21384.859375,21223.970703125,21297.98046875,66500000.0,-0.004662879431511691,0.0037195189197876495
2018-03-22,21591.990234375,21592.0,21349.7109375,21352.16015625,82600000.0,0.009821116478326293,0.0037079591141108586
2018-03-23,20617.859375,21188.80078125,20559.609375,21188.80078125,121000000.0,-0.04616476328154185,0.00421373051786584
2018-03-26,20766.099609375,20766.099609375,20347.490234375,20423.369140625,97500000.0,0.007164170468583875,0.00420908507025742
2018-03-27,21317.3203125,21317.3203125,20943.310546875,20958.900390625,101900000.0,0.026198071868137805,0.004192558670896343
2018-03-28,21031.310546875,21031.310546875,20776.8203125,20893.05078125,88100000.0,-0.013507596749698718,0.004214303918572324
2018-04-03,21292.2890625,21333.5,21056.01953125,21115.48046875,63800000.0,0.012332685585450915,0.004218594721139091
2018-04-04,21319.55078125,21415.849609375,21238.1796875,21415.849609375,75600000.0,0.0012795374510654947,0.004170851770347007
2018-04-09,21678.259765625,21737.08984375,21517.76953125,21534.330078125,62100000.0,0.01668537545865018,0.004225117924162878
2018-04-10,21794.3203125,21933.990234375,21542.369140625,21599.669921875,74700000.0,0.005339495489288386,0.003440917649415653
2018-04-11,21687.099609375,21837.359375,21687.099609375,21819.08984375,69500000.0,-0.0049318040046634325,0.003349873666578702
2018-04-12,21660.279296875,21719.4296875,21591.390625,21657.869140625,58400000.0,-0.0012374596388176466,0.0033228431376267097
2018-04-13,21778.740234375,21917.349609375,21746.689453125,21801.41015625,73100000.0,0.005454139271062385,0.0033229897312071835
2018-04-16,21835.529296875,21879.689453125,21775.609375,21843.55078125,53400000.0,0.002604152044905152,0.003318351802246842
2018-04-17,21847.58984375,21889.890625,21772.419921875,21801.830078125,57400000.0,0.0005521834254839619,0.0032159986460646075
2018-04-18,22158.19921875,22194.109375,21914.9609375,21929.009765625,70400000.0,0.014116985061576283,0.0032777352021595716
2018-04-19,22191.1796875,22360.650390625,22176.859375,22231.859375,79700000.0,0.0014873026699790037,0.0032422560850416866
2018-04-20,22162.240234375,22261.349609375,22076.630859375,22148.220703125,69600000.0,-0.0013049481768350106,0.0032441412789730797
2018-04-23,22088.0390625,22204.859375,22065.51953125,22157.880859375,64000000.0,-0.003353707257954117,0.003232961160386441
2018-04-24,22278.119140625,22304.689453125,22149.58984375,22228.8203125,76500000.0,0.008568749193087297,0.003209489428027909
2018-04-25,22215.3203125,22228.779296875,22080.759765625,22118.619140625,73300000.0,-0.0028228372810658593,0.0032010129662152728
2018-04-26,22319.609375,22381.66015625,22265.19921875,22278.76953125,72800000.0,0.0046834812073761195,0.0031778394389117386
2018-04-27,22467.869140625,22495.560546875,22357.529296875,22466.66015625,89100000.0,0.006620614157725062,0.0019438680845730153
2018-05-02,22472.779296875,22568.189453125,22426.55078125,22568.189453125,70700000.0,0.00021851737526078688,0.0019479206956209332
